25003	6
25008	16
25013	26
25018	36
25023	46
25028	56
25033	66
25038	76
25043	86
25048	96
25053	106
25058	116
25063	126
25068	136
25073	146
25078	156
25083	166
25088	176
25093	186
25098	196
25103	206
25108	216
25113	226
25118	236
25123	246
25128	256
25133	266
25138	276
25143	286
25148	296
25153	306
25158	316
25163	326
25168	336
25173	346
25178	356
25183	366
25188	376
25193	386
25198	396
25203	406
25208	416
25213	426
25218	436
25223	446
25228	456
25233	466
25238	476
25243	486
25248	496
25253	506
25258	516
25263	526
25268	536
25273	546
25278	556
25283	566
25288	576
25293	586
25298	596
25303	606
25308	616
25313	626
25318	636
25323	646
25328	656
25333	666
25338	676
25343	686
25348	696
25353	706
25358	716
25363	726
25368	736
25373	746
25378	756
25383	766
25388	776
25393	786
25398	796
25403	806
25408	816
25413	826
25418	836
25423	846
25428	856
25433	866
25438	876
25443	886
25448	896
25453	906
25458	916
25463	926
25468	936
25473	946
25478	956
25483	966
25488	976
25493	986
25498	996
