ini,end,wsize,mid_win,id
2980001,3000001,20000,2990001,200
2995001,3015001,20000,3005001,201
3010001,3030001,20000,3020001,202
3025001,3045001,20000,3035001,203
3040001,3060001,20000,3050001,204
3055001,3075001,20000,3065001,205
3070001,3090001,20000,3080001,206
3085001,3105001,20000,3095001,207
3100001,3120001,20000,3110001,208
3115001,3135001,20000,3125001,209
3130001,3150001,20000,3140001,210
3145001,3165001,20000,3155001,211
3160001,3180001,20000,3170001,212
3175001,3195001,20000,3185001,213
3190001,3210001,20000,3200001,214
3205001,3225001,20000,3215001,215
3220001,3240001,20000,3230001,216
3235001,3255001,20000,3245001,217
3250001,3270001,20000,3260001,218
3265001,3285001,20000,3275001,219
3280001,3300001,20000,3290001,220
3295001,3315001,20000,3305001,221
3310001,3330001,20000,3320001,222
3325001,3345001,20000,3335001,223
3340001,3360001,20000,3350001,224
3355001,3375001,20000,3365001,225
3370001,3390001,20000,3380001,226
3385001,3405001,20000,3395001,227
3400001,3420001,20000,3410001,228
3415001,3435001,20000,3425001,229
3430001,3450001,20000,3440001,230
3445001,3465001,20000,3455001,231
3460001,3480001,20000,3470001,232
3475001,3495001,20000,3485001,233
3490001,3510001,20000,3500001,234
3505001,3525001,20000,3515001,235
3520001,3540001,20000,3530001,236
3535001,3555001,20000,3545001,237
3550001,3570001,20000,3560001,238
3565001,3585001,20000,3575001,239
3580001,3600001,20000,3590001,240
3595001,3615001,20000,3605001,241
3610001,3630001,20000,3620001,242
3625001,3645001,20000,3635001,243
3640001,3660001,20000,3650001,244
3655001,3675001,20000,3665001,245
3670001,3690001,20000,3680001,246
3685001,3705001,20000,3695001,247
3700001,3720001,20000,3710001,248
3715001,3735001,20000,3725001,249
3730001,3750001,20000,3740001,250
3745001,3765001,20000,3755001,251
3760001,3780001,20000,3770001,252
3775001,3795001,20000,3785001,253
3790001,3810001,20000,3800001,254
3805001,3825001,20000,3815001,255
3820001,3840001,20000,3830001,256
3835001,3855001,20000,3845001,257
3850001,3870001,20000,3860001,258
3865001,3885001,20000,3875001,259
3880001,3900001,20000,3890001,260
3895001,3915001,20000,3905001,261
3910001,3930001,20000,3920001,262
3925001,3945001,20000,3935001,263
3940001,3960001,20000,3950001,264
3955001,3975001,20000,3965001,265
3970001,3990001,20000,3980001,266
3985001,4005001,20000,3995001,267
4000001,4020001,20000,4010001,268
4015001,4035001,20000,4025001,269
4030001,4050001,20000,4040001,270
4045001,4065001,20000,4055001,271
4060001,4080001,20000,4070001,272
4075001,4095001,20000,4085001,273
4090001,4110001,20000,4100001,274
4105001,4125001,20000,4115001,275
4120001,4140001,20000,4130001,276
4135001,4155001,20000,4145001,277
4150001,4170001,20000,4160001,278
4165001,4185001,20000,4175001,279
4180001,4200001,20000,4190001,280
4195001,4215001,20000,4205001,281
4210001,4230001,20000,4220001,282
4225001,4245001,20000,4235001,283
4240001,4260001,20000,4250001,284
4255001,4275001,20000,4265001,285
4270001,4290001,20000,4280001,286
4285001,4305001,20000,4295001,287
4300001,4320001,20000,4310001,288
4315001,4335001,20000,4325001,289
4330001,4350001,20000,4340001,290
4345001,4365001,20000,4355001,291
4360001,4380001,20000,4370001,292
4375001,4395001,20000,4385001,293
4390001,4410001,20000,4400001,294
4405001,4425001,20000,4415001,295
4420001,4440001,20000,4430001,296
4435001,4455001,20000,4445001,297
4450001,4470001,20000,4460001,298
4465001,4485001,20000,4475001,299
4480001,4500001,20000,4490001,300
4495001,4515001,20000,4505001,301
4510001,4530001,20000,4520001,302
4525001,4545001,20000,4535001,303
4540001,4560001,20000,4550001,304
4555001,4575001,20000,4565001,305
4570001,4590001,20000,4580001,306
4585001,4605001,20000,4595001,307
4600001,4620001,20000,4610001,308
4615001,4635001,20000,4625001,309
4630001,4650001,20000,4640001,310
4645001,4665001,20000,4655001,311
4660001,4680001,20000,4670001,312
4675001,4695001,20000,4685001,313
4690001,4710001,20000,4700001,314
4705001,4725001,20000,4715001,315
4720001,4740001,20000,4730001,316
4735001,4755001,20000,4745001,317
4750001,4770001,20000,4760001,318
4765001,4785001,20000,4775001,319
4780001,4800001,20000,4790001,320
4795001,4815001,20000,4805001,321
4810001,4830001,20000,4820001,322
4825001,4845001,20000,4835001,323
4840001,4860001,20000,4850001,324
4855001,4875001,20000,4865001,325
4870001,4890001,20000,4880001,326
4885001,4905001,20000,4895001,327
4900001,4920001,20000,4910001,328
4915001,4935001,20000,4925001,329
4930001,4950001,20000,4940001,330
4945001,4965001,20000,4955001,331
4960001,4980001,20000,4970001,332
4975001,4995001,20000,4985001,333
4990001,5010001,20000,5000001,334
5005001,5025001,20000,5015001,335
5020001,5040001,20000,5030001,336
5035001,5055001,20000,5045001,337
5050001,5070001,20000,5060001,338
5065001,5085001,20000,5075001,339
5080001,5100001,20000,5090001,340
5095001,5115001,20000,5105001,341
5110001,5130001,20000,5120001,342
5125001,5145001,20000,5135001,343
5140001,5160001,20000,5150001,344
5155001,5175001,20000,5165001,345
5170001,5190001,20000,5180001,346
5185001,5205001,20000,5195001,347
5200001,5220001,20000,5210001,348
5215001,5235001,20000,5225001,349
5230001,5250001,20000,5240001,350
5245001,5265001,20000,5255001,351
5260001,5280001,20000,5270001,352
5275001,5295001,20000,5285001,353
5290001,5310001,20000,5300001,354
5305001,5325001,20000,5315001,355
5320001,5340001,20000,5330001,356
5335001,5355001,20000,5345001,357
5350001,5370001,20000,5360001,358
5365001,5385001,20000,5375001,359
5380001,5400001,20000,5390001,360
5395001,5415001,20000,5405001,361
5410001,5430001,20000,5420001,362
5425001,5445001,20000,5435001,363
5440001,5460001,20000,5450001,364
5455001,5475001,20000,5465001,365
5470001,5490001,20000,5480001,366
5485001,5505001,20000,5495001,367
5500001,5520001,20000,5510001,368
5515001,5535001,20000,5525001,369
5530001,5550001,20000,5540001,370
5545001,5565001,20000,5555001,371
5560001,5580001,20000,5570001,372
5575001,5595001,20000,5585001,373
5590001,5610001,20000,5600001,374
5605001,5625001,20000,5615001,375
5620001,5640001,20000,5630001,376
5635001,5655001,20000,5645001,377
5650001,5670001,20000,5660001,378
5665001,5685001,20000,5675001,379
5680001,5700001,20000,5690001,380
5695001,5715001,20000,5705001,381
5710001,5730001,20000,5720001,382
5725001,5745001,20000,5735001,383
5740001,5760001,20000,5750001,384
5755001,5775001,20000,5765001,385
5770001,5790001,20000,5780001,386
5785001,5805001,20000,5795001,387
5800001,5820001,20000,5810001,388
5815001,5835001,20000,5825001,389
5830001,5850001,20000,5840001,390
5845001,5865001,20000,5855001,391
5860001,5880001,20000,5870001,392
5875001,5895001,20000,5885001,393
5890001,5910001,20000,5900001,394
5905001,5925001,20000,5915001,395
5920001,5940001,20000,5930001,396
5935001,5955001,20000,5945001,397
5950001,5970001,20000,5960001,398
5965001,5985001,20000,5975001,399
5980001,6000001,20000,5990001,400
5995001,6015001,20000,6005001,401
6010001,6030001,20000,6020001,402
6025001,6045001,20000,6035001,403
6040001,6060001,20000,6050001,404
6055001,6075001,20000,6065001,405
6070001,6090001,20000,6080001,406
6085001,6105001,20000,6095001,407
6100001,6120001,20000,6110001,408
6115001,6135001,20000,6125001,409
6130001,6150001,20000,6140001,410
6145001,6165001,20000,6155001,411
6160001,6180001,20000,6170001,412
6175001,6195001,20000,6185001,413
6190001,6210001,20000,6200001,414
6205001,6225001,20000,6215001,415
6220001,6240001,20000,6230001,416
6235001,6255001,20000,6245001,417
6250001,6270001,20000,6260001,418
6265001,6285001,20000,6275001,419
6280001,6300001,20000,6290001,420
6295001,6315001,20000,6305001,421
6310001,6330001,20000,6320001,422
6325001,6345001,20000,6335001,423
6340001,6360001,20000,6350001,424
6355001,6375001,20000,6365001,425
6370001,6390001,20000,6380001,426
6385001,6405001,20000,6395001,427
6400001,6420001,20000,6410001,428
6415001,6435001,20000,6425001,429
6430001,6450001,20000,6440001,430
6445001,6465001,20000,6455001,431
6460001,6480001,20000,6470001,432
6475001,6495001,20000,6485001,433
6490001,6510001,20000,6500001,434
